feature,importance
close,625483676006412.8
vwap,241554525018215.5
high,191108065109440.0
low,154011955734163.38
close_lag_2,33786034111507.0
sma_5,25976854734394.0
ema_5,17237586315398.2
bb_lower,11042899476701.598
close_lag_3,7483732710701.5
ema_20,5863414139831.203
bb_upper,4766110119608.102
close_lag_5,2871815911362.0
close_lag_20,2201825056547.5938
sma_10,1766359896924.0
sma_20,1696456487514.0
bb_middle,1444056583313.0
sma_50,1279430699437.6016
close_lag_10,1186598693261.2969
close_lag_1,1070868078539.0
ema_10,552480242781.0
ema_50,520851455604.6953
open,165573914735.0
month,3214598422.8945312
day_of_month,2396344881.1132812
vwap_ratio,1354359830.515625
std_50,1031754133.0273438
day_of_week,1007657294.6015625
hour,1007062906.203125
rsi_5,733995312.7929688
rsi_20,606950022.3007812
rsi_10,603458193.703125
trades,565283063.09375
returns,502512085.1015625
macd,482854044.30859375
macd_signal,456813578.6015625
volume_sma_20,444164649.3984375
close_open,396784045.90234375
macd_diff,376533183.50390625
high_low,341156510.01171875
volume,292713433.6015625
bb_width,286991809.0
volume_ratio,275727790.3984375
volume_sma_10,260779554.6015625
std_5,256727377.98828125
volume_lag_1,248818010.0
volume_lag_20,242022189.19921875
returns_lag_20,232418277.796875
returns_lag_10,230238122.91015625
volume_lag_3,227651698.8984375
returns_lag_1,225211798.109375
returns_lag_2,216791571.90234375
returns_lag_5,215702155.203125
volume_lag_5,207842790.1015625
std_10,203112148.7890625
returns_lag_3,189413919.90625
volume_lag_10,179601487.50390625
turnover,178901869.703125
volume_lag_2,159269019.79296875
std_20,113940046.79296875
bb_std,89788444.51171875
