feature,importance
close_mean_5,212851539968.0
wma_5,210010488832.0
low,179059392512.0
close,138894393344.0
vwap,137375793152.0
high,90599235584.0
ema_5,68580831232.0
close_max_5,63028789248.0
close_lag_1,49602121728.0
low_lag_1,45815926784.0
ema_15,39645200384.0
close_min_10,34026418176.0
close_lag_3,34017964032.0
close_min_5,27252238336.0
high_lag_2,25748484096.0
wma_10,24521908224.0
wma_15,18784546816.0
low_lag_3,17596772352.0
ema_10,16691690496.0
close_max_10,15089100800.0
open_lag_3,9953141760.0
open_lag_1,9653111808.0
bb_upper_10,6473046528.0
close_min_50,5158704640.0
close_min_20,4300342784.0
ema_30,4066266880.0
open_lag_2,3821665792.0
close_max_20,3602659584.0
low_lag_2,2803961344.0
sma_100,2766456576.0
open,2161811968.0
sma_5,2107507456.0
bb_lower_30,1986740736.0
sma_50,1861555072.0
bb_lower_10,1857634944.0
wma_100,1368256256.0
high_lag_30,1345348608.0
high_lag_1,1168778112.0
wma_200,1128120576.0
bb_upper_30,1073430272.0
high_lag_50,877004032.0
open_lag_10,819598272.0
close_lag_50,663381888.0
bb_upper_20,584709120.0
close_max_50,435546144.0
open_lag_50,359125248.0
open_lag_30,317210048.0
bb_lower_20,211450176.0
close_median_5,177286768.0
low_lag_5,162468528.0
low_lag_50,133934280.0
close_lag_2,112143112.0
close_lag_30,75120360.0
high_lag_5,65978484.0
high_lag_10,62424868.0
high_lag_15,58258156.0
bb_middle_10,54021096.0
ema_100,52594444.0
ema_200,52247368.0
sma_200,39860628.0
vwap_sma_20,29047402.0
open_lag_5,28364812.0
high_lag_3,26493462.0
close_lag_10,26454270.0
sma_30,19574824.0
wma_50,17288256.0
low_lag_30,15591718.0
sma_10,13668564.0
ema_20,13034860.0
sma_20,12844535.0
close_lag_5,5723930.5
open_lag_15,5119578.0
vwap_sma_10,4783954.5
sma_15,3198543.25
low_lag_20,3015947.25
wma_20,2802190.5
low_lag_10,2710152.75
close_lag_15,2213537.0
ema_50,2040445.375
high_lag_20,1939551.25
low_lag_15,1823546.0
obv,1701295.25
open_lag_20,1397786.0
obv_sma_10,1312286.625
bb_middle_30,1281721.25
obv_sma_20,1100799.625
close_median_50,1029205.1875
close_mean_50,891788.375
month,840517.0625
week_of_year,804125.5625
quarter,681117.4375
close_lag_20,681110.9375
day_of_month,441478.75
close_median_10,419013.28125
day_cos,342260.15625
day_of_week,312236.03125
close_mean_20,304748.4375
close_median_20,287027.65625
day_sin,249792.234375
stoch_k_5,241713.890625
is_quarter_start,226906.4375
williams_r_10,226550.078125
close_open,220594.09375
bb_position_10,214867.40625
is_weekend,211275.859375
is_month_start,204411.640625
high_close,200803.515625
roc_10,199015.328125
stoch_k_20,196522.734375
close_mean_10,195353.046875
roc_5,192318.015625
stoch_k_10,192256.640625
bb_position_30,191944.984375
macd_signal,188978.5
macd,187373.640625
bb_position_20,187354.8125
vwap_ratio,183896.34375
wma_30,182605.703125
williams_r_14,180957.6875
returns,176673.84375
hour,175605.6875
volume_sma_50,174832.328125
bb_middle_20,174199.984375
vwap_diff,172530.78125
trades_lag_1,162450.421875
price_change,162103.5
momentum_5,161635.375
volume_ema_20,161634.125
trades,160819.46875
roc_20,160400.578125
roc_30,158775.171875
momentum_10,152834.265625
williams_r_20,152396.390625
stoch_k_14,151994.96875
volume_ema_10,151827.71875
log_returns,151653.578125
momentum_30,146734.828125
atr_50,145918.84375
bb_std_20,145077.359375
hour_cos,142523.828125
volume_sma_5,137670.765625
low_close,136285.703125
volume,135544.765625
hour_sin,135134.015625
momentum_20,134365.796875
cci_30,132897.578125
volume_sma_20,131238.859375
std_50,130074.3984375
is_month_end,128528.90625
trades_lag_5,125788.46875
is_quarter_end,125311.8984375
cci_20,125138.359375
var_50,125055.1796875
volume_std_20,124260.6875
volume_sma_10,123679.953125
month_sin,123364.9140625
bb_width_30,120959.8828125
rsi_30,120555.734375
cci_10,117690.2734375
volume_lag_5,116881.9609375
volume_std_10,116344.8046875
volume_lag_3,116262.890625
bb_width_20,116053.4921875
volume_lag_1,115890.6953125
stoch_d_20,111478.6875
bb_std_30,111351.3828125
atr_30,110908.1015625
var_5,110797.109375
std_20,110179.546875
returns_lag_1,109929.953125
bb_width_10,109817.6796875
close_skew_20,108524.4453125
turnover,108502.390625
stoch_d_14,108490.4765625
close_kurt_20,108395.0703125
mfi_10,108340.3203125
trades_lag_3,107667.09375
rsi_20,107461.71875
close_skew_50,106720.0625
volume_lag_2,106523.96875
high_low,106452.2421875
atr_20,106367.7421875
std_5,106228.0390625
mfi_14,106017.6640625
mfi_20,105665.03125
stoch_d_10,105585.3125
volume_ratio_10,104857.3671875
trades_lag_20,104789.625
trades_lag_10,104748.171875
close_skew_10,104404.765625
returns_lag_2,104153.1015625
std_30,103564.3828125
var_30,103187.6328125
stoch_d_5,102978.0703125
var_20,102966.2265625
rsi_10,102924.7578125
volume_lag_10,102781.296875
volume_ratio_20,102430.140625
rsi_14,102274.328125
month_cos,102096.34375
close_kurt_50,101903.7578125
returns_lag_20,101791.0703125
close_kurt_10,101134.7578125
price_range,100520.3828125
trades_lag_2,100402.2421875
atr_5,100131.6875
close_skew_5,99378.09375
volume_ratio_5,98458.265625
volume_lag_20,98239.65625
close_kurt_5,98002.984375
atr_10,97007.9296875
rsi_5,96804.34375
returns_lag_5,96374.078125
returns_lag_3,95805.3046875
returns_lag_10,94442.3046875
macd_diff,93548.03125
var_10,91807.7734375
macd_histogram,90142.078125
bb_std_10,87920.765625
std_10,87855.171875
